file_id,path,offset,end,size,sha256,extension,format,signature_hex
0,__unmapped__/file_00000,1082368,1082400,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,,,00000000000000000000000000000000
1,__unmapped__/file_00001,1082880,1082912,32,2d81fe39a37965f444dffb286cd3ceaec6fe6d4d026d9007c6fe939d01c6fe99,,,02484168491c41607047c046a01c1d02
2,__unmapped__/file_00002,1083392,1083424,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,,,00000000000000000000000000000000
3,__unmapped__/file_00003,1083904,1083936,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,,,00000000000000000000000000000000
4,__unmapped__/file_00004,1084416,1385088,300672,8443bed845d34687d8bb816f1e339b5cf2417dc396c6a7c787ca7de3b5354802,,,f8b582b001906f480d1c0068141c0093
5,__unmapped__/file_00005,1385472,1587104,201632,977f5060c231f6f1c77d2739a2613fbd7be78a13124c3582f51f3b7c8149f916,,Nintendo LZ10,10b5041ca0684af6c7fb4cf6d9f838f6
6,__unmapped__/file_00006,1587200,1634304,47104,26760ca656fa3104eeca93168c75f828a1e9209433e669a85694642366d968a9,,Nintendo LZ10,10b5041ca16b052925d849187944c988
7,__unmapped__/file_00007,1634304,1657856,23552,5347944e930e9ed6a93c30a746e4c1188eeed0ded08dff1b7e35dbc97d1b69e7,,,38b5051c29480c1c00689430007813f6
8,__unmapped__/file_00008,1657856,1677856,20000,dc10455fe2e415e9a48e3338aa8838453e3eb88c4b4a170597b7cabc26bc40df,,,0141012008400006000e704701220b68
9,__unmapped__/file_00009,1678336,1720192,41856,c1631aa9c0e3575bfe38a279528d60806367ba469a98784c1a9e8d61d4c37757,,,70b5061cf2f5fcfeddf556fa0921ddf5
10,__unmapped__/file_00010,1720320,1735296,14976,cc29ed1d194a2c3009e1e60c93b07ae3741a6ffb85b9a431738c39b567eb87db,,,38b5051c154816496b6a6422e6f550f8
11,__unmapped__/file_00011,1735680,1736736,1056,7ba94ddd13a16ab3b3ec42cd219ebfe4b4ad76937d011fee844698ba4c9c165d,,,0021c943884203d08100024840587047
12,__unmapped__/file_00012,1737216,1849120,111904,9ce9dd6d7e1fc34c36452e5e9be7d5002b65d49bf6b7a320286bf790af1dfc4d,,,011c8d310978002903d10549bc300160
13,__unmapped__/file_00013,1849344,1890848,41504,6810602ea407dd8652f5c9cc4347f3f8461ef5545124bfb5e2cca76509d479af,,,38b5051c687c052801d9002068741a48
14,__unmapped__/file_00014,1891328,1953888,62560,bbced2151ce4ec03d054260fed64a733f03f2912d832269ca1c8adc726bec203,,,f8b582b0061cd52001920d1c80001a1c
15,__unmapped__/file_00015,1954304,1954336,32,66687aadf862bd776c8fc18b8e9f8e20089714856ee233b3902a591d0d5f2925,,,00000000000000000000000000000000
16,__unmapped__/file_00016,1954816,2174624,219808,b1e6f2a07cc0029a3c6b0b870510d97783c0c5c6be05c911c8197f8de051e2f0,,,70b58ab00c1c061ccaf504fc2168051c
17,__unmapped__/file_00017,2174976,2280608,105632,c785adbb257c743898019fe40a50afcd5f3ba8e66bf21af98bd5dc476eda3016,,,f0b585b0051c0020011cdbf555fcdbf5
18,__unmapped__/file_00018,2280960,2459744,178784,c4f482149fef3e18a37ae092362d7144cbbc1e404275d0dec7492c7a391b8133,,,38b5041c13f622f9a3f6aaeda3f6beee
19,__unmapped__/file_00019,2460160,2523744,63584,6c95e85fb2febceebf8664ebfa79c297ca71b56c7ef98bb637cc364102b63334,,,38b50122051c03200921920346f64cfa
20,__unmapped__/file_00020,2524160,2542272,18112,66aa9208f0c6e4e856a44f5bb71a61f0d6030d3810365ab3e29d2b5caf7085c4,,,38b50c1c2168051c002902d001291cd0
21,__unmapped__/file_00021,2542592,2645504,102912,cd916823e0bf1415db5246918ccc17286efefbaca4598abbd15aaaaf19a0cb42,,,38b588b00021051c36200a1c32f66afc
22,__unmapped__/file_00022,2645504,2674336,28832,78c8ab8eb97bc2b18f374901665fc2f3fda60c28642b300f6b1fde13172a1e78,,,f8b50f1c051c381c0821c2f5dbfaee00
23,__unmapped__/file_00023,2674688,2778624,103936,97282c48521287fe407264b34f36cbbab50a475cd189e577ece7944d2132f305,,,f8b5234a234c131c0021ff2008332568
24,__unmapped__/file_00024,2778624,2778880,256,88afc5b530297b06be84fe966d5a075ade7c51e97170aef5f473c3ae107bcea7,,,38b584b0051c03200821c203c3f59cfa
